ANNEE,MOIS,JOUR,NB_PIECES,TYPE,STANDING,COMMUNE,QUARTIER,LOYER,LIEN
,,,4.0,Maison,Moyen,Cocody/Riveira,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3529505533947995/?sale_post_id=3529505533947995
2023.0,2.0,8.0,2.0,Appartement,Economique,Cocody/Riveira,Ciad,180000000,https://www.facebook.com/groups/1558562987708936/permalink/3529345523963996/?sale_post_id=3529345523963996
2022.0,12.0,24.0,,Appartement,Economique,Cocody/Riveira,Ciad,60000000,https://www.facebook.com/groups/1558562987708936/permalink/3490993064465909/?sale_post_id=3490993064465909
2023.0,1.0,18.0,3.0,Appartement,Moyen,Cocody/Riveira,Ciad,570000000,https://www.facebook.com/groups/1558562987708936/permalink/3511074312457784/?sale_post_id=3511074312457784
2017.0,2.0,23.0,4.0,Appartement,Haut,Cocody/Riveira,Ciad,700000000,https://www.facebook.com/groups/1558562987708936/permalink/3535697209995494/?sale_post_id=3535697209995494
2023.0,2.0,9.0,4.0,Appartement,Haut,Cocody/Riveira,Ciad,670000000,https://www.facebook.com/groups/1558562987708936/permalink/3530053757226506/?sale_post_id=3530053757226506
2021.0,2.0,23.0,2.0,Appartement,Economique,Cocody/Riveira,Ciad,185000000,https://www.facebook.com/groups/1558562987708936/permalink/3539640829601132/?sale_post_id=3539640829601132
2023.0,2.0,9.0,4.0,Appartement,Haut,Cocody/Riveira,Ciad,670000000,https://www.facebook.com/groups/1558562987708936/permalink/3530051110560104/?sale_post_id=3530051110560104
2023.0,1.0,24.0,4.0,Maison,Economique,Cocody/Riveira,Ciad,80000,https://www.facebook.com/groups/1558562987708936/permalink/3516746511890564/?sale_post_id=3516746511890564
2021.0,2.0,23.0,2.0,Appartement,Economique,Cocody/Riveira,Ciad,180000000,https://www.facebook.com/groups/1558562987708936/permalink/3539176559647559/?sale_post_id=3539176559647559
2023.0,1.0,28.0,2.0,Appartement,Economique,Cocody/Riveira,Ciad,200000000,https://www.facebook.com/groups/1558562987708936/permalink/3519529761612239/?sale_post_id=3519529761612239
2023.0,2.0,9.0,4.0,Maison,Moyen,Cocody/Riveira,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3529873700577845/?sale_post_id=3529873700577845
2023.0,1.0,5.0,4.0,Maison,Moyen,Cocody/Riveira,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3501064026792146/?sale_post_id=3501064026792146
2023.0,1.0,20.0,4.0,Maison,Economique,Cocody/Riveira,Ciad,80000,https://www.facebook.com/groups/1558562987708936/permalink/3513362335562315/?sale_post_id=3513362335562315
2022.0,12.0,25.0,5.0,Maison,Moyen,Cocody/Riveira,Ciad,600000000,https://www.facebook.com/groups/1558562987708936/permalink/3492092484355967/?sale_post_id=3492092484355967
2023.0,1.0,5.0,7.0,Maison,Haut,Cocody/Riveira,Ciad,2500000000,https://www.facebook.com/groups/1558562987708936/permalink/3500665066832042/?sale_post_id=3500665066832042
2022.0,12.0,30.0,8.0,Maison,Economique,Cocody/Riveira,Ciad,130000,https://www.facebook.com/groups/1558562987708936/permalink/3496021810629701/?sale_post_id=3496021810629701
2022.0,12.0,29.0,5.0,Maison,Moyen,Cocody/Riveira,Ciad,600000000,https://www.facebook.com/groups/1558562987708936/permalink/3494940264071189/?sale_post_id=3494940264071189
2023.0,2.0,7.0,4.0,Appartement,Haut,Cocody/Riveira,Ciad,1000000000,https://www.facebook.com/groups/1558562987708936/permalink/3527891640776051/?sale_post_id=3527891640776051
2023.0,1.0,3.0,4.0,Maison,Moyen,Cocody/Riveira,Ciad,450000000,https://www.facebook.com/groups/1558562987708936/permalink/3499726000259282/?sale_post_id=3499726000259282
2022.0,12.0,25.0,5.0,Maison,Economique,Cocody/Riveira,Ciad,600000,https://www.facebook.com/groups/1558562987708936/permalink/3492105841021298/?sale_post_id=3492105841021298
2023.0,2.0,9.0,4.0,Maison,Moyen,Cocody/Riveira,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3529853647246517/?sale_post_id=3529853647246517
2023.0,1.0,25.0,4.0,Maison,Haut,Cocody/Riveira,Ciad,8000000000,https://www.facebook.com/groups/1558562987708936/permalink/3517474655151083/?sale_post_id=3517474655151083
2022.0,12.0,26.0,6.0,Appartement,Moyen,Cocody/Riveira,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3492745364290679/?sale_post_id=3492745364290679
2023.0,1.0,21.0,7.0,Maison,Haut,Cocody/Riveira,Ciad,2500000000,https://www.facebook.com/groups/1558562987708936/permalink/3513911342174081/?sale_post_id=3513911342174081
2023.0,1.0,10.0,4.0,Appartement,Moyen,Cocody/Riveira,Ciad,300000000,https://www.facebook.com/groups/1558562987708936/permalink/3505129083052307/?sale_post_id=3505129083052307
2022.0,2.0,23.0,2.0,Appartement,Economique,Cocody/Riveira,Ciad,185000000,https://www.facebook.com/groups/1558562987708936/permalink/3540178766214005/?sale_post_id=3540178766214005
2023.0,2.0,9.0,2.0,Appartement,Economique,Cocody/Riveira,Ciad,185000000,https://www.facebook.com/groups/1558562987708936/permalink/3529539713944577/?sale_post_id=3529539713944577
2023.0,2.0,11.0,4.0,Appartement,Haut,Cocody/Riveira,Ciad,670000000,https://www.facebook.com/groups/1558562987708936/permalink/3531770700388145/?sale_post_id=3531770700388145
2020.0,2.0,23.0,2.0,Appartement,Economique,Cocody/Riveira,Ciad,1850000,https://www.facebook.com/groups/1558562987708936/permalink/3538153509749864/?sale_post_id=3538153509749864
2022.0,12.0,30.0,4.0,Maison,Moyen,Cocody/Riveira,Ciad,450000000,https://www.facebook.com/groups/1558562987708936/permalink/3496170843948131/?sale_post_id=3496170843948131
2023.0,1.0,12.0,7.0,Maison,Haut,Cocody/Riveira,Ciad,2500000000,https://www.facebook.com/groups/1558562987708936/permalink/3506288696269679/?sale_post_id=3506288696269679
2023.0,2.0,9.0,4.0,Maison,Moyen,Cocody/Riveira,Ciad,500000000,https://www.facebook.com/groups/1558562987708936/permalink/3529852287246653/?sale_post_id=3529852287246653
2022.0,12.0,26.0,8.0,Maison,Moyen,Cocody/Riveira,Ciad,600000000,https://www.facebook.com/groups/1558562987708936/permalink/3492760124289203/?sale_post_id=3492760124289203
